Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Notes,RPE
2026-03-21,Chest & Biceps🃏,51m,Incline Bench Press (Smith Machine),W,70.0,8.0,,
2026-03-21,Chest & Biceps🃏,51m,Incline Bench Press (Smith Machine),W,110.0,5.0,,
2026-03-21,Chest & Biceps🃏,51m,Incline Bench Press (Smith Machine),F,160.0,7.0,,10.0
2026-03-21,Chest & Biceps🃏,51m,Incline Bench Press (Smith Machine),F,150.0,6.0,,10.0
2026-03-21,Chest & Biceps🃏,51m,Forearm Curl (Cable),F,30.0,9.0,"2x6-8(F), 3 mins",10.0
2026-03-21,Chest & Biceps🃏,51m,Forearm Curl (Cable),F,32.5,9.0,,10.0
2026-03-21,Chest & Biceps🃏,51m,Arsenal Strength Chest Fly (Machine),F,250.0,8.0,"2x8-10(F), 3 mins",10.0
2026-03-21,Chest & Biceps🃏,51m,Arsenal Strength Chest Fly (Machine),F,200.0,8.0,,10.0
2026-03-22,Back & Triceps✝️,1h 2m,Lat Pulldown - Wide Grip (Cable),W,100.0,8.0,"2x6-8(F), 4 mins",
2026-03-22,Back & Triceps✝️,1h 2m,Lat Pulldown - Wide Grip (Cable),F,165.0,5.0,,10.0
2026-03-22,Back & Triceps✝️,1h 2m,Lat Pulldown - Wide Grip (Cable),F,150.0,6.0,,10.0
2026-03-22,Back & Triceps✝️,1h 2m,Single Arm Tricep Extension (Cable),W,10.0,10.0,"2x6-8(F), 3 mins",
2026-03-22,Back & Triceps✝️,1h 2m,Single Arm Tricep Extension (Cable),F,35.0,6.0,,10.0
2026-03-22,Back & Triceps✝️,1h 2m,Single Arm Tricep Extension (Cable),F,30.0,7.0,,10.0
2026-03-22,Back & Triceps✝️,1h 2m,Arsenal Strength Reload T Row,W,50.0,8.0,"2x6-8(F), 4 mins",
2026-03-22,Back & Triceps✝️,1h 2m,Arsenal Strength Reload T Row,F,110.0,7.0,,10.0
2026-03-22,Back & Triceps✝️,1h 2m,Arsenal Strength Reload T Row,F,100.0,6.0,,10.0
2026-03-22,Back & Triceps✝️,1h 2m,Tricep Press (Machine),F,220.0,6.0,"2x6-8(F), 3 mins",10.0
2026-03-22,Back & Triceps✝️,1h 2m,Tricep Press (Machine),F,205.0,6.0,,10.0
2026-03-22,Back & Triceps✝️,1h 2m,Arsenal Strength Reloaded Iso Multi Row,F,160.0,7.0,1x6-8(F),10.0
2026-03-24,Shoulders🪨,41m,Cable Crunch,F,65.0,11.0,"3x8-10, 3 mins",10.0
2026-03-24,Shoulders🪨,41m,Cable Crunch,F,70.0,8.0,,10.0
2026-03-24,Shoulders🪨,41m,Cable Crunch,F,70.0,7.0,,10.0
2026-03-24,Shoulders🪨,41m,Arsenal Strength Shoulder Press (Machine),W,18.0,10.0,"2x6-8(F), 3 mins",
2026-03-24,Shoulders🪨,41m,Arsenal Strength Shoulder Press (Machine),W,43.0,8.0,,
2026-03-24,Shoulders🪨,41m,Arsenal Strength Shoulder Press (Machine),F,108.0,6.0,,10.0
2026-03-24,Shoulders🪨,41m,Arsenal Strength Shoulder Press (Machine),F,98.0,6.0,,10.0
2026-03-24,Shoulders🪨,41m,Arsenal Strength Lateral Raise (Machine),F,70.0,11.0,"2x8-10(F), 3 mins",10.0
2026-03-24,Shoulders🪨,41m,Arsenal Strength Lateral Raise (Machine),F,80.0,8.0,,10.0
2026-03-24,Shoulders🪨,41m,Rear Delt Fly (Cable),F,20.0,6.0,"2x8-10(F), 3 mins",10.0
2026-03-26,Chest & Biceps🃏,42m,Single Arm Preacher Curl (Machine),W,10.0,10.0,"2x6-8(F), 3 mins",
2026-03-26,Chest & Biceps🃏,42m,Single Arm Preacher Curl (Machine),F,72.5,7.0,,10.0
2026-03-26,Chest & Biceps🃏,42m,Single Arm Preacher Curl (Machine),F,65.0,8.0,,10.0
2026-03-26,Chest & Biceps🃏,42m,Incline Bench Press (Smith Machine),W,20.0,10.0,"2x6-8(F), 4 mins",
2026-03-26,Chest & Biceps🃏,42m,Incline Bench Press (Smith Machine),W,70.0,8.0,,
2026-03-26,Chest & Biceps🃏,42m,Incline Bench Press (Smith Machine),W,110.0,5.0,,
2026-03-26,Chest & Biceps🃏,42m,Incline Bench Press (Smith Machine),F,160.0,8.0,,10.0
2026-03-26,Chest & Biceps🃏,42m,Incline Bench Press (Smith Machine),F,165.0,4.0,,10.0
2026-03-27,Back & Triceps✝️,53m,Lat Pulldown - Wide Grip (Cable),W,100.0,8.0,"2x6-8(F), 4 mins",
